"Baumit A121","a121","#e9e5d5"
"Baumit A123","a123","#ecead3"
"Baumit A124","a124","#e9e8ce"
"Baumit A125","a125","#ecebc3"
"Baumit A127","a127","#eae6b2"
"Baumit A151","a151","#efe9d2"
"Baumit A152","a152","#efdfbd"
"Baumit A153","a153","#eedbb3"
"Baumit A154","a154","#edd4a5"
"Baumit A155","a155","#eac78e"
"Baumit A157","a157","#e3bc7a"
"Baumit A171","a171","#eee1cf"
"Baumit A172","a172","#ede0ce"
"Baumit A173","a173","#edd8bc"
"Baumit A175","a175","#e6c094"
"Baumit A177","a177","#dbb07e"
"Baumit A181","a181","#f1e2d1"
"Baumit A183","a183","#e9c9b3"
"Baumit A185","a185","#d8a383"
"Baumit A191","a191","#ebd8d1"
"Baumit A192","a192","#efd9da"
"Baumit A193","a193","#d7b9b8"
"Baumit A195","a195","#b28689"
"Baumit A211","a211","#d6cbc4"
"Baumit A213","a213","#cbb6b4"
"Baumit A215","a215","#a48e8d"
"Baumit A251","a251","#e5e9e3"
"Baumit A252","a252","#d6e2df"
"Baumit A253","a253","#ccdbdf"
"Baumit A255","a255","#adcce2"
"Baumit A257","a257","#8cb4db"
"Baumit A261","a261","#e3e4d6"
"Baumit A262","a262","#dee4d4"
"Baumit A263","a263","#ced7c6"
"Baumit A265","a265","#a7baa6"
"Baumit A267","a267","#95ab95"
"Baumit A282","a282","#e5d7c6"
"Baumit A284","a284","#c6aa91"
"Baumit A286","a286","#a98b73"
"Baumit B151","b151","#c0bfb4"
"Baumit B153","b153","#c6bca0"
"Baumit B155","b155","#c4b18a"
"Baumit B157","b157","#c9a973"
"Baumit B238","b238","#776665"
"Baumit B253","b253","#b6b8b4"
"Baumit B255","b255","#9cabb1"
"Baumit B257","b257","#8ca3b2"
"Baumit B270","b270","#d5d3ca"
"Baumit B271","b271","#b9b7af"
"Baumit B273","b273","#a8a8a4"
"Baumit B278","b278","#727376"
"Baumit B2910","b2910","#876858"
"Baumit B292","b292","#c1b4a8"
"Baumit B294","b294","#ae9d90"
"Baumit B296","b296","#957b6d"
"Baumit B298","b298","#886f62"
"Baumit B302","b302","#c2b7a7"
"Baumit B304","b304","#c3af97"
"Baumit B306","b306","#b39375"
"Baumit B308","b308","#a78261"
"Baumit B312","b312","#b8b5a5"
"Baumit B314","b314","#b6b39d"
"Baumit B316","b316","#9a9371"
"Baumit B318","b318","#9c8b6a"
"Baumit B322","b322","#c0b49e"
"Baumit B324","b324","#c0a789"
"Baumit B326","b326","#bf9368"
"Baumit B328","b328","#c29165"
"Baumit B3310","b3310","#776252"
"Baumit B3510","b3510","#836050"
